zip_code,county
94063,San Mateo
92225,Riverside
92273,Imperial
92651,Orange
92801,Orange
92865,Orange
92352,San Bernardino
92250,Imperial
92807,Orange
92627,Orange
91935,San Diego
91773,Los Angeles
91107,Los Angeles
93283,Kern
92866,Orange
94528,Contra Costa
95076,Santa Cruz
90010,Los Angeles
91905,San Diego
91016,Los Angeles
91303,Los Angeles
91608,Los Angeles
91906,San Diego
94806,Contra Costa
93603,Tulare
93314,Kern
93943,Monterey
94588,Alameda
92503,Riverside
91384,Los Angeles
91505,Los Angeles
93004,Ventura
92604,Orange
92532,Riverside
92555,Riverside
95621,Sacramento
92707,Orange
91914,San Diego
91932,San Diego
93247,Tulare
92240,Riverside
92553,Riverside
94592,Solano
92285,San Bernardino
92009,San Diego
91934,San Diego
91006,Los Angeles
92821,Orange
92124,San Diego
92358,San Bernardino
92861,Orange
92868,Orange
92102,San Diego
91405,Los Angeles
93101,Santa Barbara
92308,San Bernardino
93023,Ventura
93730,Fresno
93623,Mariposa
92120,San Diego
94521,Contra Costa
94597,Contra Costa
91702,Los Angeles
91948,San Diego
93932,Monterey
93628,Fresno
93220,Kern
93258,Tulare
93426,San Luis Obispo
91401,Los Angeles
94607,Alameda
94060,San Mateo
94957,Marin
95117,Santa Clara
91761,San Bernardino
91304,Los Angeles
91502,Los Angeles
93003,Ventura
93601,Madera
93619,Fresno
94567,Napa
94709,Alameda
91204,Los Angeles
95118,Santa Clara
94951,Sonoma
93524,Kern
92220,Riverside
94022,Santa Clara
94573,Napa
94613,Alameda
91024,Los Angeles
91106,Los Angeles
93043,Ventura
93723,Fresno
92154,San Diego
95010,Santa Cruz
92676,Orange
91710,San Bernardino
91913,San Diego
94954,Sonoma
92122,San Diego
92274,Riverside
94123,San Francisco
94503,Napa
94548,Contra Costa
90024,Los Angeles
91306,Los Angeles
91331,Los Angeles
93544,Los Angeles
93111,Santa Barbara
93434,Santa Barbara
93555,Kern
92117,San Diego
94956,Marin
94005,San Mateo
94525,Contra Costa
92886,Orange
92780,Orange
92385,San Bernardino
92617,Orange
93429,Santa Barbara
92630,Orange
94037,San Mateo
93517,Mono
94129,San Francisco
92134,San Diego
92603,Orange
92587,Riverside
93201,Tulare
94924,Marin
94949,Marin
94133,San Francisco
94539,Alameda
94103,San Francisco
94501,Alameda
94560,Alameda
91367,Los Angeles
95826,Sacramento
95674,Sutter
95919,Yuba
91941,San Diego
92066,San Diego
92075,San Diego
92606,Orange
92802,Orange
92705,Orange
95237,San Joaquin
95255,Calaveras
95430,Sonoma
91980,San Diego
92058,San Diego
92084,San Diego
95130,Santa Clara
95210,San Joaquin
91730,San Bernardino
95335,Tuolumne
95637,Yolo
95901,Yuba
95973,Butte
93427,Santa Barbara
93286,Tulare
93440,Santa Barbara
90715,Los Angeles
92656,Orange
93637,Madera
93641,Fresno
94920,Marin
92805,Orange
92145,San Diego
92147,San Diego
92155,San Diego
92067,San Diego
92551,Riverside
92570,Riverside
92345,San Bernardino
92253,Riverside
92407,San Bernardino
93207,Tulare
91381,Los Angeles
92544,Riverside
92313,San Bernardino
92029,San Diego
92061,San Diego
92131,San Diego
92374,San Bernardino
91916,San Diego
93001,Ventura
93041,Ventura
92280,San Bernardino
92869,Orange
92223,Riverside
90623,Orange
90630,Orange
92322,San Bernardino
92344,San Bernardino
92378,San Bernardino
92678,Orange
93430,San Luis Obispo
92590,Riverside
92660,Orange
93063,Ventura
93312,Kern
93535,Los Angeles
93510,Los Angeles
94963,Marin
92867,Orange
92880,Riverside
92132,San Diego
92135,San Diego
94941,Marin
94124,San Francisco
94544,Alameda
94024,Santa Clara
94568,Alameda
92596,Riverside
93205,Kern
93311,Kern
96008,Shasta
96085,Siskiyou
95139,Santa Clara
96121,Lassen
96112,Modoc
96125,Sierra
96096,Shasta
95234,San Joaquin
95811,Sacramento
95709,El Dorado
96029,Tehama
95435,Lake
95604,Placer
95697,Yolo
96035,Tehama
96014,Siskiyou
95070,Santa Clara
95113,Santa Clara
95726,El Dorado
95963,Glenn
96048,Trinity
96051,Shasta
96013,Shasta
96133,Mono
96119,Lassen
96148,Placer
